,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
11762, ,,ICE596,Stuttgart Hbf 14:51-Mannheim Hbf 15:29-Frankfurt(Main)Hbf 16:08-Fulda 17:07-Eisenach 18:00-Erfurt Hbf 18:26-Leipzig Hbf 19:10-Lutherstadt Wittenberg Hbf 19:46-Berlin Südkreuz 20:22-Berlin Hbf (tief) 20:29,8098096.0,dep,Berlin Hbf (tief),10Stuttgart Hbf,14:51,20.06.19,Stuttgart%238098096,0,ICE
12091, Grund: Technische Störung am Zug@@Gleiswechsel,15:23,ICE597,Berlin Hbf (tief) 09:28-Berlin Südkreuz 09:35-Lutherstadt Wittenberg Hbf 10:11-Leipzig Hbf 10:48-Erfurt Hbf 11:30-Eisenach 11:56-Fulda 12:50-Frankfurt(Main)Hbf 13:50-Mannheim Hbf 14:30-Stuttgart Hbf 15:08,8098096.0,arr,Berlin Hbf (tief),9Stuttgart Hbf,15:08,20.06.19,Stuttgart%238098096,15,ICE
12119, ,15:47,ICE516,München Hbf 13:28-München-Pasing 13:36-Augsburg Hbf 14:03-Ulm Hbf 14:49-Stuttgart Hbf 15:45,8098096.0,arr,München Hbf,10Stuttgart Hbf,15:45,20.06.19,Stuttgart%238098096,2,ICE
12170, ,15:45,ICE516,München Hbf 13:28-München-Pasing 13:36-Augsburg Hbf 14:03-Ulm Hbf 14:49-Stuttgart Hbf 15:45,8098096.0,arr,München Hbf,10Stuttgart Hbf,15:45,20.06.19,Stuttgart%238098096,0,ICE
12193, Grund: Technische Störung am Zug@@Gleiswechsel,15:38,ICE597,Berlin Hbf (tief) 09:28-Berlin Südkreuz 09:35-Lutherstadt Wittenberg Hbf 10:11-Leipzig Hbf 10:48-Erfurt Hbf 11:30-Eisenach 11:56-Fulda 12:50-Frankfurt(Main)Hbf 13:50-Mannheim Hbf 14:30-Stuttgart Hbf 15:08,8098096.0,arr,Berlin Hbf (tief),9Stuttgart Hbf,15:08,20.06.19,Stuttgart%238098096,30,ICE
12234, Ersatzfahrt für ICE  575@@Grund: Technische Störung an einem anderen Zug@@Gleiswechsel,15:45,ICE 2909,Hamburg-Altona 08:46-Hamburg Dammtor 08:54-Hamburg Hbf 09:01-Hamburg-Harburg 09:13-Hannover Hbf 10:24-Göttingen 11:18-Kassel-Wilhelmshöhe 11:39-Frankfurt(Main)Hbf 13:06-Frankfurt(M) Flughafen Fernbf 13:23-Mannheim Hbf 13:56-Stuttgart Hbf 14:35,8098096.0,arr,Hamburg-Altona,9Stuttgart Hbf,14:35,20.06.19,Stuttgart%238098096,70,ICE
12588, Grund: Technische Störung am Zug@@Gleiswechsel,15:44,ICE597,Stuttgart Hbf 15:14-Ulm Hbf 16:10-Augsburg Hbf 16:53-München-Pasing 17:18-München Hbf 17:27,8098096.0,dep,München Hbf,9Stuttgart Hbf,15:14,20.06.19,Stuttgart%238098096,30,ICE
12597, Ersatzfahrt für ICE  974,,ICE 2910,Stuttgart Hbf 15:24-Mannheim Hbf 16:03-Frankfurt(M) Flughafen Fernbf 16:36-Frankfurt(Main)Hbf 16:52-Kassel-Wilhelmshöhe 18:19-Göttingen 18:39-Hannover Hbf 19:34-Lüneburg 20:26-Hamburg Hbf 20:55-Hamburg Dammtor 21:04-Neumünster 21:51-Kiel Hbf 22:14,8098096.0,dep,Kiel Hbf,10Stuttgart Hbf,15:24,20.06.19,Stuttgart%238098096,0,ICE
12614, ,15:53,ICE516,Stuttgart Hbf 15:51-Mannheim Hbf 16:28-Frankfurt(M) Flughafen Fernbf 17:06-Siegburg/Bonn 17:46-Köln Hbf 18:05-Düsseldorf Hbf 18:31-Duisburg Hbf 18:45-Essen Hbf 18:57-Bochum Hbf 19:08-Dortmund Hbf 19:21,8098096.0,dep,Dortmund Hbf,10Stuttgart Hbf,15:51,20.06.19,Stuttgart%238098096,2,ICE
12632, Grund: Technische Störung am Zug@@Gleiswechsel,15:58,ICE597,Berlin Hbf (tief) 09:28-Berlin Südkreuz 09:35-Lutherstadt Wittenberg Hbf 10:11-Leipzig Hbf 10:48-Erfurt Hbf 11:30-Eisenach 11:56-Fulda 12:50-Frankfurt(Main)Hbf 13:50-Mannheim Hbf 14:30-Stuttgart Hbf 15:08,8098096.0,arr,Berlin Hbf (tief),9Stuttgart Hbf,15:08,20.06.19,Stuttgart%238098096,50,ICE
